iter	MultiClass
0	1.01270904
1	0.9458402486
2	0.8947021344
3	0.8516826095
4	0.8164547495
5	0.7881439732
6	0.7627693479
7	0.7418922045
8	0.7239461577
9	0.7077207831
10	0.6944432394
11	0.6837251172
12	0.6742853131
13	0.6649338968
14	0.6586673845
15	0.6531957131
16	0.647558287
17	0.6425369135
18	0.6387426984
19	0.6356739528
20	0.6322309319
21	0.6295235138
22	0.6272664985
23	0.6249795131
24	0.6233669973
25	0.6218742285
26	0.6206545249
27	0.6196299034
28	0.6182844688
29	0.6172359533
30	0.6161513987
31	0.6149625368
32	0.613930865
33	0.6132708133
34	0.6126875906
35	0.6118572054
36	0.6111179929
37	0.6105564868
38	0.6100121477
39	0.6092135124
40	0.6087388991
41	0.6081717045
42	0.6075798752
43	0.6072503731
44	0.606952847
45	0.6067265295
46	0.606232944
47	0.6054287671
48	0.6048329883
49	0.6043790702
50	0.6042078718
51	0.6038562098
52	0.6033105906
53	0.6028126592
54	0.602649323
55	0.6023997152
56	0.6019229251
57	0.6016177029
58	0.6013567914
59	0.6006642357
60	0.6003800831
61	0.6000348527
62	0.5998579164
63	0.5994648569
64	0.5991182605
65	0.5986360594
66	0.5984107602
67	0.5982688811
68	0.5979128996
69	0.5976628456
70	0.597433122
71	0.5971293921
72	0.596815031
73	0.5966508121
74	0.596410967
75	0.5962233738
76	0.5961524789
77	0.5959909539
78	0.5954737901
79	0.5951610769
80	0.5949334959
81	0.5946374435
82	0.5943251447
83	0.5940121026
84	0.5937659111
85	0.5937096729
86	0.5935200646
87	0.5933178308
88	0.5931480901
89	0.5929379658
90	0.5927575601
91	0.5924597252
92	0.5921852835
93	0.5919198266
94	0.5917758684
95	0.5914330201
96	0.5912408879
97	0.5911004675
98	0.5908967833
99	0.5907034423
100	0.5905367254
101	0.5903293193
102	0.58993614
103	0.5897394474
104	0.5896043196
105	0.5892579946
106	0.5890766565
107	0.5888352917
108	0.5884647976
109	0.5883097523
110	0.5881969966
111	0.5879193384
112	0.5876134057
113	0.5874807353
114	0.5871350984
115	0.5867571134
116	0.5865935427
117	0.5863168403
118	0.5861285503
119	0.5858280635
120	0.5856639468
121	0.5854219018
122	0.5851324706
123	0.5849324721
124	0.5847844499
125	0.5845262298
126	0.5843859655
127	0.5841560433
128	0.5839530438
129	0.5839055093
130	0.5837970983
131	0.5835253066
132	0.5833484488
133	0.5832587565
134	0.5831045075
135	0.5829657429
136	0.5827702089
137	0.5825484427
138	0.5823344435
139	0.5819915356
140	0.5818104353
141	0.5816004872
142	0.5813738494
143	0.5811820235
144	0.5809997298
145	0.5807723156
146	0.5806195534
147	0.5804259536
148	0.5802644225
149	0.5801516017
150	0.5799760349
151	0.5797956971
152	0.5796225466
153	0.5794189646
154	0.5793018529
155	0.5791352845
156	0.579000908
157	0.5788554453
158	0.578683348
159	0.5785378151
160	0.5784040346
161	0.5783223118
162	0.5782791657
163	0.5780947418
164	0.5779680494
165	0.577828479
166	0.5776686664
167	0.577432319
168	0.5773288875
169	0.5772446319
170	0.5771520097
171	0.5769768344
172	0.5768038119
173	0.5766068212
174	0.5764219227
175	0.5762584443
176	0.5760592566
177	0.5758286139
178	0.5756496002
179	0.575454834
180	0.5753236663
181	0.5752051092
182	0.5751394166
183	0.5749527113
184	0.5748505864
185	0.5746871623
186	0.574580195
187	0.5744993298
188	0.574364974
189	0.5742523056
190	0.5741209511
191	0.5740690215
192	0.5737687026
193	0.5735903387
194	0.5735192483
195	0.5733932117
196	0.573216491
197	0.5729966213
198	0.5728531524
199	0.5727836057
200	0.5726445954
201	0.5725995449
202	0.5723948632
203	0.5722243796
204	0.5720210132
205	0.5719338981
206	0.5718332505
207	0.5716238078
208	0.5714778462
209	0.5713695448
210	0.5712957124
211	0.5711449687
212	0.5710690468
213	0.5707924925
214	0.5706633276
215	0.5705846112
216	0.5705192301
217	0.5704181752
218	0.5702182217
219	0.5701633633
220	0.5700622026
221	0.569960242
222	0.5698415574
223	0.5696895626
224	0.5696129485
225	0.5694792455
226	0.569398852
227	0.5692875199
228	0.5692621787
229	0.5691436408
230	0.5690339352
231	0.5689018418
232	0.5688087149
233	0.5687357177
234	0.5685380044
235	0.5684000417
236	0.5682795998
237	0.5681244444
238	0.5679947447
239	0.5678957918
240	0.5678085949
241	0.5677004189
242	0.5675231477
243	0.5674367359
244	0.5672329947
245	0.5671183528
246	0.5670132314
247	0.5669039567
248	0.5668571817
249	0.5666795896
250	0.5665372572
251	0.5664029788
252	0.5662818151
253	0.5659757348
254	0.5658624435
255	0.5657651898
256	0.5656605385
257	0.5655900487
