iter	Passed	Remaining
0	10	10068
1	19	9606
2	28	9602
3	38	9692
4	47	9454
5	56	9303
6	64	9128
7	74	9200
8	85	9430
9	95	9427
10	104	9353
11	111	9203
12	120	9115
13	127	8963
14	135	8924
15	143	8815
16	152	8830
17	160	8766
18	168	8720
19	176	8651
20	184	8610
21	191	8521
22	200	8497
23	208	8477
24	216	8427
25	224	8417
26	232	8374
27	240	8341
28	248	8308
29	257	8321
30	265	8306
31	273	8259
32	281	8246
33	288	8203
34	296	8183
35	304	8150
36	312	8134
37	320	8111
38	328	8087
39	335	8055
40	342	8007
41	350	7984
42	357	7947
43	365	7931
44	373	7917
45	382	7928
46	390	7924
47	401	7959
48	413	8033
49	427	8117
50	437	8147
51	448	8175
52	459	8206
53	468	8208
54	477	8211
55	486	8203
56	496	8218
57	505	8209
58	514	8212
59	526	8243
60	536	8257
61	546	8266
62	556	8280
63	566	8282
64	576	8293
65	585	8284
66	595	8298
67	605	8293
68	613	8283
69	623	8282
70	632	8274
71	642	8282
72	651	8277
73	660	8267
74	669	8262
75	679	8257
76	688	8254
77	697	8249
78	707	8243
79	717	8245
80	726	8237
81	735	8238
82	745	8239
83	756	8252
84	766	8254
85	775	8244
86	784	8234
87	793	8223
88	802	8218
89	811	8203
90	820	8199
91	830	8193
92	840	8193
93	849	8191
94	859	8187
95	871	8206
96	883	8228
97	898	8274
98	913	8313
99	929	8369
100	946	8422
101	956	8421
102	966	8420
103	976	8411
104	987	8420
105	1001	8443
106	1012	8453
107	1024	8457
108	1040	8505
109	1055	8537
110	1067	8550
111	1080	8566
112	1094	8587
113	1104	8587
114	1117	8600
115	1132	8627
116	1147	8661
117	1163	8699
118	1177	8716
119	1189	8720
120	1200	8717
121	1211	8722
122	1224	8731
123	1239	8759
124	1253	8775
125	1267	8793
126	1279	8795
127	1290	8794
128	1299	8773
129	1309	8762
130	1318	8744
131	1328	8738
132	1338	8728
133	1349	8719
134	1360	8714
135	1370	8703
136	1379	8688
137	1389	8682
138	1400	8673
139	1410	8663
140	1420	8651
141	1428	8633
142	1438	8619
143	1447	8602
144	1456	8590
145	1465	8572
146	1474	8557
147	1483	8542
148	1491	8520
149	1500	8505
150	1508	8480
151	1517	8468
152	1527	8453
153	1536	8442
154	1547	8434
155	1556	8423
156	1566	8408
157	1574	8392
158	1584	8379
159	1592	8358
160	1600	8342
161	1608	8320
162	1617	8303
163	1625	8284
164	1633	8268
165	1642	8250
166	1651	8237
167	1660	8224
168	1668	8206
169	1678	8193
170	1687	8179
171	1695	8163
172	1703	8143
173	1712	8128
174	1720	8111
175	1729	8098
176	1738	8081
177	1747	8070
178	1757	8058
179	1766	8045
180	1775	8034
181	1784	8018
182	1793	8005
183	1800	7985
184	1809	7970
185	1816	7951
186	1825	7935
187	1833	7918
188	1842	7907
189	1852	7897
190	1861	7886
191	1871	7874
192	1879	7859
193	1888	7845
194	1896	7827
195	1905	7817
196	1913	7801
197	1922	7785
198	1930	7768
199	1938	7754
200	1946	7737
201	1954	7722
202	1962	7705
203	1971	7692
204	1979	7675
205	1987	7659
206	1995	7643
207	2003	7630
208	2011	7614
209	2020	7599
210	2027	7583
211	2036	7569
212	2044	7552
213	2052	7539
214	2061	7525
215	2069	7513
216	2077	7495
217	2086	7484
218	2094	7470
219	2103	7457
220	2111	7441
221	2119	7427
222	2127	7412
223	2135	7399
224	2143	7384
225	2152	7371
226	2160	7356
227	2168	7343
228	2176	7327
229	2184	7313
230	2192	7298
231	2200	7285
232	2208	7270
233	2217	7258
234	2224	7242
235	2233	7230
236	2240	7213
237	2249	7202
238	2257	7186
239	2265	7174
240	2272	7158
241	2281	7146
242	2288	7130
243	2296	7116
244	2304	7102
245	2312	7087
246	2319	7070
247	2327	7056
248	2334	7041
249	2342	7026
250	2349	7011
251	2356	6994
252	2364	6982
253	2372	6967
254	2380	6953
255	2387	6937
256	2395	6924
257	2402	6908
258	2410	6895
259	2417	6880
260	2425	6868
261	2432	6852
262	2440	6839
263	2448	6826
264	2457	6817
265	2465	6804
266	2475	6794
267	2482	6781
268	2491	6769
269	2498	6756
270	2507	6745
271	2515	6731
272	2523	6720
273	2532	6709
274	2541	6699
275	2548	6685
276	2557	6675
277	2565	6663
278	2573	6651
279	2581	6638
280	2589	6626
281	2597	6612
282	2605	6600
283	2612	6587
284	2621	6576
285	2629	6563
286	2637	6552
287	2645	6539
288	2654	6529
289	2662	6518
290	2670	6507
291	2678	6495
292	2686	6483
293	2694	6470
294	2702	6459
295	2710	6445
296	2718	6434
297	2726	6421
298	2734	6410
299	2742	6398
300	2750	6387
301	2758	6374
