nutrition,value,measure,food_product
Galactose,0.0,G,alcoholic
"Fiber, total dietary",0.0,G,alcoholic
"Iron, Fe",0.03,MG,alcoholic
"Magnesium, Mg",12.0,MG,alcoholic
"Phosphorus, P",32.0,MG,alcoholic
"Sodium, Na",4.0,MG,alcoholic
Protein,0.9,G,alcoholic
Ash,0.12,G,alcoholic
Fructose,0.0,G,alcoholic
Lactose,0.0,G,alcoholic
"Carotene, beta",0.0,UG,alcoholic
"Carotene, alpha",0.0,UG,alcoholic
Vitamin D (D2 + D3),0.0,UG,alcoholic
"Cryptoxanthin, beta",0.0,UG,alcoholic
Lycopene,0.0,UG,alcoholic
"Copper, Cu",0.008,MG,alcoholic
"Manganese, Mn",0.022,MG,alcoholic
"Vitamin A, IU",0.0,IU,alcoholic
Retinol,0.0,UG,alcoholic
"Vitamin C, total ascorbic acid",0.0,MG,alcoholic
Thiamin,0.03,MG,alcoholic
Riboflavin,0.09,MG,alcoholic
"Folate, total",18.0,UG,alcoholic
Vitamin B-12,0.02,UG,alcoholic
Vitamin K (phylloquinone),0.0,UG,alcoholic
"Folate, food",18.0,UG,alcoholic
"Vitamin B-12, added",0.0,UG,alcoholic
Cholesterol,0.0,MG,alcoholic
"Fatty acids, total saturated",0.0,G,alcoholic
SFA 8:0,0.0,G,alcoholic
SFA 12:0,0.0,G,alcoholic
SFA 14:0,0.0,G,alcoholic
PUFA 22:6 n-3 (DHA),0.0,G,alcoholic
MUFA 16:1,0.0,G,alcoholic
PUFA 20:5 n-3 (EPA),0.0,G,alcoholic
PUFA 22:5 n-3 (DPA),0.0,G,alcoholic
"Zinc, Zn",0.01,MG,alcoholic
"Selenium, Se",0.6,UG,alcoholic
Vitamin E (alpha-tocopherol),0.0,MG,alcoholic
"Vitamin D (D2 + D3), International Units",0.0,IU,alcoholic
Total lipid (fat),0.0,G,alcoholic
Sucrose,0.0,G,alcoholic
Glucose,0.0,G,alcoholic
Maltose,0.0,G,alcoholic
Water,91.0,G,alcoholic
Caffeine,0.0,MG,alcoholic
Theobromine,0.0,MG,alcoholic
"Sugars, Total",0.0,G,alcoholic
"Calcium, Ca",8.0,MG,alcoholic
"Potassium, K",62.0,MG,alcoholic
Lutein + zeaxanthin,0.0,UG,alcoholic
Niacin,1.1,MG,alcoholic
Pantothenic acid,0.21,MG,alcoholic
Vitamin B-6,0.09,MG,alcoholic
"Choline, total",10.1,MG,alcoholic
Folic acid,0.0,UG,alcoholic
"Folate, DFE",18.0,UG,alcoholic
"Vitamin E, added",0.0,MG,alcoholic
SFA 4:0,0.0,G,alcoholic
SFA 6:0,0.0,G,alcoholic
SFA 10:0,0.0,G,alcoholic
SFA 16:0,0.0,G,alcoholic
SFA 18:0,0.0,G,alcoholic
MUFA 18:1,0.0,G,alcoholic
PUFA 18:2,0.0,G,alcoholic
PUFA 18:3,0.0,G,alcoholic
PUFA 20:4,0.0,G,alcoholic
PUFA 18:4,0.0,G,alcoholic
MUFA 20:1,0.0,G,alcoholic
MUFA 22:1,0.0,G,alcoholic
"Fatty acids, total monounsaturated",0.0,G,alcoholic
"Fatty acids, total polyunsaturated",0.0,G,alcoholic
"Carbohydrate, by difference",0.27,G,alcoholic
Energy,243,kJ,alcoholic
"Alcohol, ethyl",7.7,G,alcoholic
"Vitamin A, RAE",0.0,UG,alcoholic
Vitamin E (alpha-tocopherol),1.63,MG,almond
Vitamin B-6,0.193,MG,almond
Total lipid (fat),11.1,G,almond
"Carbohydrate, by difference",74.7,G,almond
Energy,1750.0,kJ,almond
Water,3.21,G,almond
"Sugars, Total",27.4,G,almond
"Calcium, Ca",98.0,MG,almond
"Potassium, K",444,MG,almond
"Folate, total",31.0,UG,almond
"Folate, food",31.0,UG,almond
Cholesterol,2.0,MG,almond
Protein,9.21,G,almond
Ash,1.79,G,almond
"Fiber, total dietary",9.9,G,almond
"Iron, Fe",2.47,MG,almond
"Magnesium, Mg",106,MG,almond
"Phosphorus, P",334,MG,almond
"Sodium, Na",47.0,MG,almond
"Vitamin A, IU",19.0,IU,almond
"Vitamin C, total ascorbic acid",3.1,MG,almond
Thiamin,0.34,MG,almond
Riboflavin,0.26,MG,almond
Vitamin B-12,0.14,UG,almond
"Fatty acids, total trans",0.11,G,almond
"Fatty acids, total saturated",1.13,G,almond
Niacin,1.98,MG,almond
"Fatty acids, total monounsaturated",6.39,G,almond
"Fatty acids, total polyunsaturated",3.0,G,almond
"Zinc, Zn",2.44,MG,almond
Protein,1.34,G,amaretto
Total lipid (fat),2.15,G,amaretto
"Carbohydrate, by difference",29.6,G,amaretto
Energy,134,KCAL,amaretto
"Alcohol, ethyl",0.0,G,amaretto
Water,66.3,G,amaretto
Caffeine,0.0,MG,amaretto
Theobromine,0.0,MG,amaretto
"Sugars, total including NLEA",24.2,G,amaretto
"Fiber, total dietary",1.8,G,amaretto
"Calcium, Ca",39.0,MG,amaretto
"Iron, Fe",0.12,MG,amaretto
"Magnesium, Mg",8.0,MG,amaretto
"Phosphorus, P",37.0,MG,amaretto
"Potassium, K",134,MG,amaretto
"Sodium, Na",62.0,MG,amaretto
"Zinc, Zn",0.14,MG,amaretto
"Copper, Cu",0.025,MG,amaretto
"Selenium, Se",0.4,UG,amaretto
Retinol,3.0,UG,amaretto
"Vitamin A, RAE",5.0,UG,amaretto
"Carotene, beta",21.0,UG,amaretto
"Carotene, alpha",0.0,UG,amaretto
Vitamin E (alpha-tocopherol),0.25,MG,amaretto
Vitamin D (D2 + D3),0.0,UG,amaretto
"Cryptoxanthin, beta",8.0,UG,amaretto
Lycopene,0.0,UG,amaretto
Lutein + zeaxanthin,22.0,UG,amaretto
"Vitamin C, total ascorbic acid",3.6,MG,amaretto
Thiamin,0.038,MG,amaretto
Riboflavin,0.084,MG,amaretto
Niacin,0.105,MG,amaretto
Vitamin B-6,0.045,MG,amaretto
"Folate, total",3.0,UG,amaretto
Vitamin B-12,0.08,UG,amaretto
"Choline, total",4.6,MG,amaretto
Vitamin K (phylloquinone),2.1,UG,amaretto
Folic acid,0.0,UG,amaretto
"Folate, food",3.0,UG,amaretto
"Folate, DFE",3.0,UG,amaretto
"Vitamin E, added",0.0,MG,amaretto
"Vitamin B-12, added",0.0,UG,amaretto
Cholesterol,2.0,MG,amaretto
"Fatty acids, total saturated",0.64,G,amaretto
SFA 4:0,0.012,G,amaretto
SFA 6:0,0.003,G,amaretto
SFA 8:0,0.003,G,amaretto
SFA 10:0,0.006,G,amaretto
SFA 12:0,0.004,G,amaretto
SFA 14:0,0.048,G,amaretto
SFA 16:0,0.488,G,amaretto
SFA 18:0,0.076,G,amaretto
MUFA 18:1,0.367,G,amaretto
PUFA 18:2,0.894,G,amaretto
PUFA 18:3,0.013,G,amaretto
PUFA 20:4,0.002,G,amaretto
PUFA 22:6 n-3 (DHA),0.0,G,amaretto
MUFA 16:1,0.024,G,amaretto
PUFA 18:4,0.0,G,amaretto
MUFA 20:1,0.0,G,amaretto
PUFA 20:5 n-3 (EPA),0.0,G,amaretto
MUFA 22:1,0.0,G,amaretto
PUFA 22:5 n-3 (DPA),0.0,G,amaretto
"Fatty acids, total monounsaturated",0.391,G,amaretto
"Fatty acids, total polyunsaturated",0.908,G,amaretto
Protein,28.9,G,anchovy
Total lipid (fat),9.71,G,anchovy
"Carbohydrate, by difference",0.0,G,anchovy
Energy,210,KCAL,anchovy
"Alcohol, ethyl",0.0,G,anchovy
Water,50.3,G,anchovy
Caffeine,0.0,MG,anchovy
Theobromine,0.0,MG,anchovy
"Sugars, total including NLEA",0.0,G,anchovy
"Fiber, total dietary",0.0,G,anchovy
"Calcium, Ca",232,MG,anchovy
"Iron, Fe",4.63,MG,anchovy
"Magnesium, Mg",69.0,MG,anchovy
"Phosphorus, P",252,MG,anchovy
"Potassium, K",544,MG,anchovy
"Sodium, Na",3670.0,MG,anchovy
"Zinc, Zn",2.44,MG,anchovy
"Copper, Cu",0.339,MG,anchovy
"Selenium, Se",68.1,UG,anchovy
Retinol,12.0,UG,anchovy
"Vitamin A, RAE",12.0,UG,anchovy
"Carotene, beta",0.0,UG,anchovy
"Carotene, alpha",0.0,UG,anchovy
Vitamin E (alpha-tocopherol),3.33,MG,anchovy
Vitamin D (D2 + D3),1.7,UG,anchovy
"Cryptoxanthin, beta",0.0,UG,anchovy
Lycopene,0.0,UG,anchovy
Lutein + zeaxanthin,0.0,UG,anchovy
"Vitamin C, total ascorbic acid",0.0,MG,anchovy
Thiamin,0.078,MG,anchovy
Riboflavin,0.363,MG,anchovy
Niacin,19.9,MG,anchovy
Vitamin B-6,0.203,MG,anchovy
"Folate, total",13.0,UG,anchovy
Vitamin B-12,0.88,UG,anchovy
"Choline, total",85.0,MG,anchovy
Vitamin K (phylloquinone),12.1,UG,anchovy
Folic acid,0.0,UG,anchovy
"Folate, food",13.0,UG,anchovy
"Folate, DFE",13.0,UG,anchovy
"Vitamin E, added",0.0,MG,anchovy
"Vitamin B-12, added",0.0,UG,anchovy
Cholesterol,85.0,MG,anchovy
"Fatty acids, total saturated",2.2,G,anchovy
SFA 4:0,0.0,G,anchovy
SFA 6:0,0.0,G,anchovy
SFA 8:0,0.0,G,anchovy
SFA 10:0,0.0,G,anchovy
SFA 12:0,0.02,G,anchovy
SFA 14:0,0.428,G,anchovy
SFA 16:0,1.33,G,anchovy
SFA 18:0,0.42,G,anchovy
MUFA 18:1,2.94,G,anchovy
PUFA 18:2,0.362,G,anchovy
PUFA 18:3,0.017,G,anchovy
PUFA 20:4,0.01,G,anchovy
PUFA 22:6 n-3 (DHA),1.29,G,anchovy
MUFA 16:1,0.59,G,anchovy
PUFA 18:4,0.078,G,anchovy
MUFA 20:1,0.009,G,anchovy
PUFA 20:5 n-3 (EPA),0.763,G,anchovy
MUFA 22:1,0.163,G,anchovy
PUFA 22:5 n-3 (DPA),0.041,G,anchovy
"Fatty acids, total monounsaturated",3.77,G,anchovy
"Fatty acids, total polyunsaturated",2.56,G,anchovy
"Calcium, Ca",646,MG,anise
Total lipid (fat),15.9,G,anise
"Carbohydrate, by difference",50.0,G,anise
Energy,1410.0,kJ,anise
Water,9.54,G,anise
"Potassium, K",1440.0,MG,anise
"Zinc, Zn",5.3,MG,anise
Niacin,3.06,MG,anise
Pantothenic acid,0.797,MG,anise
"Fatty acids, total monounsaturated",9.78,G,anise
"Fatty acids, total polyunsaturated",3.15,G,anise
MUFA 18:1,9.78,G,anise
PUFA 18:2,3.15,G,anise
Protein,17.6,G,anise
Ash,6.95,G,anise
"Fiber, total dietary",14.6,G,anise
"Vitamin C, total ascorbic acid",21.0,MG,anise
Thiamin,0.34,MG,anise
Riboflavin,0.29,MG,anise
"Folate, total",10.0,UG,anise
Vitamin B-12,0.0,UG,anise
Cholesterol,0.0,MG,anise
"Iron, Fe",37.0,MG,anise
"Magnesium, Mg",170,MG,anise
"Phosphorus, P",440,MG,anise
"Sodium, Na",16.0,MG,anise
"Copper, Cu",0.91,MG,anise
"Manganese, Mn",2.3,MG,anise
"Vitamin A, IU",311,IU,anise
Folic acid,0.0,UG,anise
SFA 4:0,0.0,G,anise
SFA 6:0,0.0,G,anise
SFA 10:0,0.0,G,anise
SFA 16:0,0.0,G,anise
SFA 18:0,0.0,G,anise
PUFA 18:3,0.0,G,anise
PUFA 20:4,0.0,G,anise
PUFA 18:4,0.0,G,anise
MUFA 20:1,0.0,G,anise
MUFA 22:1,0.0,G,anise
SFA 8:0,0.0,G,anise
SFA 12:0,0.0,G,anise
SFA 14:0,0.0,G,anise
PUFA 22:6 n-3 (DHA),0.0,G,anise
MUFA 16:1,0.0,G,anise
PUFA 20:5 n-3 (EPA),0.0,G,anise
PUFA 22:5 n-3 (DPA),0.0,G,anise
"Selenium, Se",5.0,UG,anise
"Vitamin D (D2 + D3), International Units",0.0,IU,anise
"Alcohol, ethyl",0.0,G,anise
"Fatty acids, total saturated",0.586,G,anise
Retinol,0.0,UG,anise
"Folate, DFE",10.0,UG,anise
Caffeine,0.0,MG,anise
Theobromine,0.0,MG,anise
Vitamin B-6,0.65,MG,anise
"Vitamin A, RAE",16.0,UG,anise
"Folate, food",10.0,UG,anise
Vitamin D (D2 + D3),0.0,UG,anise
Protein,1.34,G,apple
Total lipid (fat),2.15,G,apple
"Carbohydrate, by difference",29.6,G,apple
Energy,134,KCAL,apple
"Alcohol, ethyl",0.0,G,apple
Water,66.3,G,apple
Caffeine,0.0,MG,apple
Theobromine,0.0,MG,apple
"Sugars, total including NLEA",24.2,G,apple
"Fiber, total dietary",1.8,G,apple
"Calcium, Ca",39.0,MG,apple
"Iron, Fe",0.12,MG,apple
"Magnesium, Mg",8.0,MG,apple
"Phosphorus, P",37.0,MG,apple
"Potassium, K",134,MG,apple
"Sodium, Na",62.0,MG,apple
"Zinc, Zn",0.14,MG,apple
"Copper, Cu",0.025,MG,apple
"Selenium, Se",0.4,UG,apple
Retinol,3.0,UG,apple
"Vitamin A, RAE",5.0,UG,apple
"Carotene, beta",21.0,UG,apple
"Carotene, alpha",0.0,UG,apple
Vitamin E (alpha-tocopherol),0.25,MG,apple
Vitamin D (D2 + D3),0.0,UG,apple
"Cryptoxanthin, beta",8.0,UG,apple
Lycopene,0.0,UG,apple
Lutein + zeaxanthin,22.0,UG,apple
"Vitamin C, total ascorbic acid",3.6,MG,apple
Thiamin,0.038,MG,apple
Riboflavin,0.084,MG,apple
Niacin,0.105,MG,apple
Vitamin B-6,0.045,MG,apple
"Folate, total",3.0,UG,apple
Vitamin B-12,0.08,UG,apple
"Choline, total",4.6,MG,apple
Vitamin K (phylloquinone),2.1,UG,apple
Folic acid,0.0,UG,apple
"Folate, food",3.0,UG,apple
"Folate, DFE",3.0,UG,apple
"Vitamin E, added",0.0,MG,apple
"Vitamin B-12, added",0.0,UG,apple
Cholesterol,2.0,MG,apple
"Fatty acids, total saturated",0.64,G,apple
SFA 4:0,0.012,G,apple
SFA 6:0,0.003,G,apple
SFA 8:0,0.003,G,apple
SFA 10:0,0.006,G,apple
SFA 12:0,0.004,G,apple
SFA 14:0,0.048,G,apple
SFA 16:0,0.488,G,apple
SFA 18:0,0.076,G,apple
MUFA 18:1,0.367,G,apple
PUFA 18:2,0.894,G,apple
PUFA 18:3,0.013,G,apple
PUFA 20:4,0.002,G,apple
PUFA 22:6 n-3 (DHA),0.0,G,apple
MUFA 16:1,0.024,G,apple
PUFA 18:4,0.0,G,apple
MUFA 20:1,0.0,G,apple
PUFA 20:5 n-3 (EPA),0.0,G,apple
MUFA 22:1,0.0,G,apple
PUFA 22:5 n-3 (DPA),0.0,G,apple
"Fatty acids, total monounsaturated",0.391,G,apple
"Fatty acids, total polyunsaturated",0.908,G,apple
Protein,0.09,G,apple juice
Total lipid (fat),0.25,G,apple juice
"Carbohydrate, by difference",11.3,G,apple juice
Energy,48.0,KCAL,apple juice
"Alcohol, ethyl",0.0,G,apple juice
Water,88.2,G,apple juice
Caffeine,0.0,MG,apple juice
Theobromine,0.0,MG,apple juice
"Sugars, total including NLEA",10.1,G,apple juice
"Fiber, total dietary",0.2,G,apple juice
"Calcium, Ca",7.0,MG,apple juice
"Iron, Fe",0.06,MG,apple juice
"Magnesium, Mg",5.0,MG,apple juice
"Phosphorus, P",6.0,MG,apple juice
"Potassium, K",97.0,MG,apple juice
"Sodium, Na",5.0,MG,apple juice
"Zinc, Zn",0.0,MG,apple juice
"Copper, Cu",0.005,MG,apple juice
"Selenium, Se",0.1,UG,apple juice
Retinol,0.0,UG,apple juice
"Vitamin A, RAE",0.0,UG,apple juice
"Carotene, beta",0.0,UG,apple juice
"Carotene, alpha",0.0,UG,apple juice
Vitamin E (alpha-tocopherol),0.01,MG,apple juice
Vitamin D (D2 + D3),0.0,UG,apple juice
"Cryptoxanthin, beta",0.0,UG,apple juice
Lycopene,0.0,UG,apple juice
Lutein + zeaxanthin,16.0,UG,apple juice
"Vitamin C, total ascorbic acid",38.6,MG,apple juice
Thiamin,0.005,MG,apple juice
Riboflavin,0.017,MG,apple juice
Niacin,0.026,MG,apple juice
Vitamin B-6,0.015,MG,apple juice
"Folate, total",2.0,UG,apple juice
Vitamin B-12,0.0,UG,apple juice
"Choline, total",1.8,MG,apple juice
Vitamin K (phylloquinone),0.0,UG,apple juice
Folic acid,0.0,UG,apple juice
"Folate, food",2.0,UG,apple juice
"Folate, DFE",2.0,UG,apple juice
"Vitamin E, added",0.0,MG,apple juice
"Vitamin B-12, added",0.0,UG,apple juice
Cholesterol,0.0,MG,apple juice
"Fatty acids, total saturated",0.022,G,apple juice
SFA 4:0,0.0,G,apple juice
SFA 6:0,0.0,G,apple juice
SFA 8:0,0.0,G,apple juice
SFA 10:0,0.0,G,apple juice
SFA 12:0,0.0,G,apple juice
SFA 14:0,0.001,G,apple juice
SFA 16:0,0.018,G,apple juice
SFA 18:0,0.002,G,apple juice
MUFA 18:1,0.005,G,apple juice
PUFA 18:2,0.033,G,apple juice
PUFA 18:3,0.007,G,apple juice
PUFA 20:4,0.0,G,apple juice
PUFA 22:6 n-3 (DHA),0.0,G,apple juice
MUFA 16:1,0.0,G,apple juice
PUFA 18:4,0.0,G,apple juice
MUFA 20:1,0.0,G,apple juice
PUFA 20:5 n-3 (EPA),0.0,G,apple juice
MUFA 22:1,0.0,G,apple juice
PUFA 22:5 n-3 (DPA),0.0,G,apple juice
"Fatty acids, total monounsaturated",0.006,G,apple juice
"Fatty acids, total polyunsaturated",0.039,G,apple juice
Protein,1.4,G,apricot
Total lipid (fat),0.39,G,apricot
"Carbohydrate, by difference",11.1,G,apricot
Energy,48.0,KCAL,apricot
"Alcohol, ethyl",0.0,G,apricot
Water,86.4,G,apricot
Caffeine,0.0,MG,apricot
Theobromine,0.0,MG,apricot
"Sugars, total including NLEA",9.24,G,apricot
"Fiber, total dietary",2.0,G,apricot
"Calcium, Ca",13.0,MG,apricot
"Iron, Fe",0.39,MG,apricot
"Magnesium, Mg",10.0,MG,apricot
"Phosphorus, P",23.0,MG,apricot
"Potassium, K",259,MG,apricot
"Sodium, Na",1.0,MG,apricot
"Zinc, Zn",0.2,MG,apricot
"Copper, Cu",0.078,MG,apricot
"Selenium, Se",0.1,UG,apricot
Retinol,0.0,UG,apricot
"Vitamin A, RAE",96.0,UG,apricot
"Carotene, beta",1090.0,UG,apricot
"Carotene, alpha",19.0,UG,apricot
Vitamin E (alpha-tocopherol),0.89,MG,apricot
Vitamin D (D2 + D3),0.0,UG,apricot
"Cryptoxanthin, beta",104,UG,apricot
Lycopene,0.0,UG,apricot
Lutein + zeaxanthin,89.0,UG,apricot
"Vitamin C, total ascorbic acid",10.0,MG,apricot
Thiamin,0.03,MG,apricot
Riboflavin,0.04,MG,apricot
Niacin,0.6,MG,apricot
Vitamin B-6,0.054,MG,apricot
"Folate, total",9.0,UG,apricot
Vitamin B-12,0.0,UG,apricot
"Choline, total",2.8,MG,apricot
Vitamin K (phylloquinone),3.3,UG,apricot
Folic acid,0.0,UG,apricot
"Folate, food",9.0,UG,apricot
"Folate, DFE",9.0,UG,apricot
"Vitamin E, added",0.0,MG,apricot
"Vitamin B-12, added",0.0,UG,apricot
Cholesterol,0.0,MG,apricot
"Fatty acids, total saturated",0.027,G,apricot
SFA 4:0,0.0,G,apricot
SFA 6:0,0.0,G,apricot
SFA 8:0,0.0,G,apricot
SFA 10:0,0.0,G,apricot
SFA 12:0,0.0,G,apricot
SFA 14:0,0.0,G,apricot
SFA 16:0,0.024,G,apricot
SFA 18:0,0.003,G,apricot
MUFA 18:1,0.17,G,apricot
PUFA 18:2,0.077,G,apricot
PUFA 18:3,0.0,G,apricot
PUFA 20:4,0.0,G,apricot
PUFA 22:6 n-3 (DHA),0.0,G,apricot
MUFA 16:1,0.0,G,apricot
PUFA 18:4,0.0,G,apricot
MUFA 20:1,0.0,G,apricot
PUFA 20:5 n-3 (EPA),0.0,G,apricot
MUFA 22:1,0.0,G,apricot
PUFA 22:5 n-3 (DPA),0.0,G,apricot
"Fatty acids, total monounsaturated",0.17,G,apricot
"Fatty acids, total polyunsaturated",0.077,G,apricot
Protein,3.65,G,artichoke
Total lipid (fat),33.1,G,artichoke
"Carbohydrate, by difference",5.47,G,artichoke
Energy,331,KCAL,artichoke
"Alcohol, ethyl",0.0,G,artichoke
Water,55.6,G,artichoke
Caffeine,0.0,MG,artichoke
Theobromine,0.0,MG,artichoke
"Sugars, total including NLEA",2.08,G,artichoke
"Fiber, total dietary",0.9,G,artichoke
"Calcium, Ca",101,MG,artichoke
"Iron, Fe",0.24,MG,artichoke
"Magnesium, Mg",13.0,MG,artichoke
"Phosphorus, P",88.0,MG,artichoke
"Potassium, K",120,MG,artichoke
"Sodium, Na",601,MG,artichoke
"Zinc, Zn",0.53,MG,artichoke
"Copper, Cu",0.041,MG,artichoke
"Selenium, Se",4.4,UG,artichoke
Retinol,60.0,UG,artichoke
"Vitamin A, RAE",62.0,UG,artichoke
