nutrition,value,measure,food_product,pr_daily_norm
"Fiber, total dietary",0.0,G,alcoholic,0.0
"Iron, Fe",0.03,MG,alcoholic,0.16666666666666666
"Magnesium, Mg",12.0,MG,alcoholic,2.857142857142857
"Phosphorus, P",32.0,MG,alcoholic,2.56
"Sodium, Na",4.0,MG,alcoholic,0.17391304347826086
Protein,0.9,G,alcoholic,1.8000000000000003
Vitamin D (D2 + D3),0.0,UG,alcoholic,0.0
"Copper, Cu",0.008,MG,alcoholic,0.8888888888888888
"Manganese, Mn",0.022,MG,alcoholic,0.9565217391304347
"Vitamin C, total ascorbic acid",0.0,MG,alcoholic,0.0
Thiamin,0.03,MG,alcoholic,2.5
Riboflavin,0.09,MG,alcoholic,6.9230769230769225
Vitamin B-12,0.02,UG,alcoholic,0.8333333333333334
Vitamin K (phylloquinone),0.0,UG,alcoholic,0.0
Cholesterol,0.0,MG,alcoholic,0.0
"Fatty acids, total saturated",0.0,G,alcoholic,0.0
"Zinc, Zn",0.01,MG,alcoholic,0.09090909090909091
"Selenium, Se",0.6,UG,alcoholic,1.0909090909090908
Vitamin E (alpha-tocopherol),0.0,MG,alcoholic,0.0
Total lipid (fat),0.0,G,alcoholic,0.0
"Calcium, Ca",8.0,MG,alcoholic,0.6153846153846154
"Potassium, K",62.0,MG,alcoholic,1.3191489361702127
Niacin,1.1,MG,alcoholic,6.875000000000001
Pantothenic acid,0.21,MG,alcoholic,4.199999999999999
Vitamin B-6,0.09,MG,alcoholic,5.294117647058823
"Choline, total",10.1,MG,alcoholic,1.8363636363636364
"Folate, DFE",18.0,UG,alcoholic,4.5
"Carbohydrate, by difference",0.27,G,alcoholic,0.09818181818181818
"Vitamin A, RAE",0.0,UG,alcoholic,0.0
Vitamin E (alpha-tocopherol),1.63,MG,almond,10.866666666666665
Vitamin B-6,0.193,MG,almond,11.352941176470589
Total lipid (fat),11.1,G,almond,14.23076923076923
"Carbohydrate, by difference",74.7,G,almond,27.16363636363636
"Calcium, Ca",98.0,MG,almond,7.538461538461538
